column_name,data_type,column_description,ner_tag,table_name
panel_id,text,The ID of the panel.,,genmab_sample
variable_name,text,The name of the variable.,,genmab_sample
variable_name_clean,text,The clean name of the variable.,,genmab_sample
viability_percentage,text,The viability percentage.,,genmab_sample
mfi_reportable_marker,text,The MFI reportable marker.,,genmab_sample
cell_count,text,The cell count.,,genmab_sample
cell_count_flag,text,The flag indicating if the cell count is valid or not. Possible values are 'FALSE' and 'TRUE'.,,genmab_sample
parent_population,text,The parent population.,,genmab_sample
parent_cell_count,text,The parent cell count.,,genmab_sample
parent_cell_count_flag,text,The flag indicating if the parent cell count is valid or not. Possible values are 'FALSE' and 'TRUE'.,,genmab_sample
original_result_unit_raw,text,"The original result unit raw. Possible values are 'percent_parent', 'median', '% CD4-CD8- of Lymphocytes', 'Freq. of Lymphocytes (%)', 'Freq. of CD45+ Live (%)', 'CD37 ABC on CD19+', '% CD19+CD20+CD24-CD38- of CD19+ OR CD20+ B Cells', '% T1&T2 CD19+CD20+CD24+CD38+CD27-CD10+ of CD19+ OR CD20+ B Cells', '% CD45 Live  of Single Cells'.",,genmab_sample
validation_flag,text,The flag indicating if the result is valid or not. Possible values are 'FALSE' and 'TRUE'.,,genmab_sample
visit_timepoint,text,The visit timepoint.,,genmab_sample
study,text,The study.,,genmab_sample
sample_list_study_participant_id,text,The ID of the study participant in the sample list.,,genmab_sample
dummy_group_safetyevent,text,"The dummy group for safety events. Possible values are 'Group 0', 'Group 1', and 'Group 2'.",,genmab_sample
dummy_group_reponse,text,The dummy group for response. Possible values are 'Group X' and 'Group Y'.,,genmab_sample
accession_id,text,The ID of the accession.,,genmab_sample
variable_name_clean_stnd,text,The standardized clean name of the variable.,,genmab_sample
t_cell_subtype,text,The subtype of T cell.,,genmab_sample
major_t_cell_pop,text,The major T cell population. Possible values are 'CD4+' and 'CD8+'.,,genmab_sample
t_cell_pop_short,text,"The short name of the T cell population. Possible values are 'central memory T cells', 'Temra T cells', 'effector memory T cells', 'naive T cells', 'Tregs', and 'parent T cells'.",,genmab_sample
t_cell_abbr,text,"The abbreviation of the T cell population. Possible values are 'cm', 'Temra', 'naive', 'em', 'Tregs', and 'parent'.",,genmab_sample
variable_value,double precision,The value of the variable.,,genmab_sample
